gene	hits	maxp	avg_af	avg_maf	avg_beta
tagF	18	22.181774106386044	0.06805555555555556	0.06805555555555556	0.9127222222222223
GIFFJJKF_00321	53	22.531652669587842	0.0631132075471698	0.0631132075471698	0.9097358490566035
GIFFJJKF_00354	100	58.48412615628832	0.5505499999999999	0.4494500000000001	0.7381299999999998
GIFFJJKF_01933|GIFFJJKF_01934	1	17.216811308924743	0.17	0.17	0.672
gatD	25	16.616184634019568	0.7151999999999998	0.28480000000000016	0.68436
hlyB_2|GIFFJJKF_01936	1	17.216811308924743	0.17	0.17	0.672
gpsB	26	20.77728352885242	0.48846153846153845	0.48846153846153845	0.6100384615384618
GIFFJJKF_02190	55	27.39254497678533	0.8489999999999998	0.15100000000000025	0.686018181818182
GIFFJJKF_01743	8	19.66354026615147	0.4775	0.4775	0.687
GIFFJJKF_01148	20	17.197910742118268	0.6547499999999999	0.34525000000000006	0.6802999999999998
ybbH_2	57	22.5016894462104	0.3642982456140352	0.3642982456140352	0.5649649122807018
glyG_3	24	20.024108863598208	0.10770833333333334	0.10770833333333334	0.6630416666666666
femA	16	21.910094888560604	0.5631250000000001	0.4368749999999999	0.621875
pbpX	109	98.15864052954514	0.5486697247706422	0.45133027522935776	0.6725688073394497
epsJ_1	32	22.531652669587842	0.03890625000000002	0.03890625000000002	0.9522499999999999
asp2	7	22.27083521030723	0.08	0.08	0.8475714285714285
GIFFJJKF_01744	3	19.66354026615147	0.5033333333333333	0.4966666666666667	0.71
sstT	21	20.87942606879415	0.47142857142857136	0.47142857142857136	0.749
GIFFJJKF_01607	222	27.69897000433602	0.7800450450450453	0.21995495495495465	0.5925045045045046
GIFFJJKF_01937|GIFFJJKF_01936	1	17.216811308924743	0.17	0.17	0.672
GIFFJJKF_01932	8	18.114638779968487	0.16375	0.16375	0.6733750000000001
GIFFJJKF_01936	5	17.23062267392386	0.165	0.165	0.6188
yqeH	11	18.05453141486818	0.4777272727272727	0.4777272727272727	0.6075454545454547
GIFFJJKF_00313	177	79.98716277529483	0.5639265536723163	0.43607344632768374	0.8030282485875704
GIFFJJKF_01930	4	17.216811308924743	0.165	0.165	0.6505000000000001
murF	83	77.60380065290427	0.5683734939759036	0.43162650602409636	0.757590361445783
clpC_1	323	80.46344155742847	0.6479876160990711	0.3520123839009289	0.539452012383901
gatC_1	24	29.72584215073632	0.7858333333333333	0.21416666666666673	0.7915833333333334
GIFFJJKF_00325|tagF	1	21.73754891026957	0.04	0.04	0.944
GIFFJJKF_01750	8	19.24565166428898	0.5762499999999999	0.42375000000000007	0.719375
uvrC	50	22.690369832574103	0.32349999999999995	0.32349999999999995	0.5747599999999998
lacZ	86	22.690369832574103	0.4986627906976744	0.4986627906976744	0.6127441860465115
glyD	31	19.191114132640188	0.10693548387096777	0.10693548387096777	0.6733225806451614
GIFFJJKF_00325	6	21.73754891026957	0.035	0.035	0.9418333333333333
rapA	162	28.17134010346468	0.7014197530864195	0.29858024691358054	0.6791111111111107
rsmA	43	27.602059991327963	0.6420930232558139	0.35790697674418614	0.6918604651162792
GIFFJJKF_01764	3	8.387216143280265	0.3566666666666667	0.3566666666666667	0.3096666666666667
GIFFJJKF_01149	30	20.54060751224077	0.42283333333333334	0.42283333333333334	0.7249333333333333
gnd	50	74.17457388223218	0.5093999999999997	0.49060000000000026	0.62472
murC	63	31.12609840213554	0.7428571428571425	0.25714285714285745	0.9066507936507942
mraY	88	77.98296666070122	0.4084090909090909	0.4084090909090909	0.5894204545454546
pyrB	23	28.7594507517174	0.5886956521739131	0.41130434782608694	0.7821304347826089
penA	116	33.03058408764602	0.42387931034482756	0.42387931034482756	0.5785000000000001
GIFFJJKF_01634	36	15.66354026615147	0.4429166666666666	0.4429166666666666	0.5398611111111111
rsmE|prmA	2	14.234331445240986	0.07500000000000001	0.07500000000000001	0.6295
GIFFJJKF_01473	34	28.7594507517174	0.7336764705882353	0.26632352941176474	0.7363529411764705
nagD	20	22.181774106386044	0.08775	0.08775	0.8731500000000001
GIFFJJKF_00345	55	20.714442690992225	0.5340909090909091	0.46590909090909094	0.6763454545454544
rmlD	53	22.531652669587842	0.48981132075471695	0.48981132075471695	0.6770377358490567
liaR|GIFFJJKF_00356	6	50.185086818724926	0.3558333333333334	0.3558333333333334	0.8521666666666666
clpX	12	30.468521082957746	0.19333333333333336	0.19333333333333336	0.5695833333333333
GIFFJJKF_00320	150	22.531652669587842	0.24446666666666667	0.24446666666666667	0.7521266666666668
GIFFJJKF_00324|GIFFJJKF_00325	1	21.73754891026957	0.04	0.04	0.944
sarA_1	200	54.063486257521106	0.5438000000000002	0.45619999999999983	0.7896050000000002
GIFFJJKF_00559	15	22.690369832574103	0.44166666666666665	0.44166666666666665	0.6387999999999999
fucI	37	30.518557371497696	0.5583783783783783	0.44162162162162166	0.5896756756756756
GIFFJJKF_00322	12	22.531652669587842	0.027500000000000007	0.027500000000000007	0.9683333333333333
GIFFJJKF_01934|hlyB_2	1	17.216811308924743	0.17	0.17	0.672
GIFFJJKF_00358	72	41.14206473528057	0.5809027777777777	0.41909722222222234	0.697513888888889
carB	106	25.3767507096021	0.5569339622641509	0.44306603773584907	0.7588584905660377
asp1	20	23.04624030826677	0.13275	0.13275	0.6344000000000001
carA	76	19.20830935097988	0.5905263157894737	0.4094736842105263	0.7552368421052634
yghU	38	28.7594507517174	0.7886842105263154	0.21131578947368457	0.8270263157894734
GIFFJJKF_00303	31	22.401209493236884	0.5906451612903226	0.40935483870967737	0.7545806451612902
